id,holiday,workingday,humidity,windspeed,demand,temp_code,weather_code
64,No,Yes,32,7.0015,5.056245805,9.84-12.88-Cold,-1
65,No,Yes,47,0,4.700480366,8.2-12.88-Cold,-1
66,No,Yes,47,7.0015,3.951243719,20.14-11.365-Mild,-1
67,No,Yes,64,8.9981,3.951243719,7.38-9.85-Cold,-1
68,No,Yes,69,8.9981,2.995732274,5.74-7.575-Cold,-1
69,No,Yes,55,7.0015,2.48490665,7.38-10.605-Cold,-1
70,No,Yes,55,7.0015,1.609437912,6.56-9.09-Cold,-1
71,No,Yes,59,7.0015,0.6931471806,6.56-9.09-Cold,-1
72,No,Yes,63,8.9981,0,5.74-7.575-Cold,-1
73,No,Yes,63,6.0032,0.6931471806,5.74-9.09-Cold,-1
74,No,Yes,68,7.0015,1.386294361,4.92-7.575-Cold,-1
75,No,Yes,74,7.0015,3.583518938,20.16-7.575-Mild,-1
76,No,Yes,74,8.9981,4.543294782,4.92-7.575-Cold,-1
77,No,Yes,69,11.0014,5.187385806,5.74-7.575-Cold,-1
78,No,Yes,64,,4.605170186,6.56-7.575-Cold,-1
79,No,Yes,69,22.0028,3.737669618,6.56-6.82-Cold,-2
80,No,Yes,51,19.9995,4.043051268,9.02-10.605-Cold,-1
81,No,Yes,51,11.0014,4.356708827,9.02-11.365-Cold,-1
82,No,Yes,56,12.998,4.574710979,9.84-11.365-Cold,-1
83,No,Yes,52,15.0013,4.143134726,10.66-12.88-Mild,-1
84,No,Yes,52,16.9979,4.17438727,20.17-13.635-Mild,-1
85,No,Yes,49,16.9979,4.418840608,12.3-14.395-Mild,-1
86,No,Yes,48,15.0013,5.356586275,11.48-13.635-Mild,-1
87,No,Yes,48,12.998,5.204006687,10.66-12.88-Mild,-1
88,No,Yes,48,7.0015,4.718498871,9.84-12.88-Cold,-1
89,No,Yes,48,7.0015,3.988984047,9.84-12.88-Cold,-1
90,No,Yes,64,0,3.871201011,20.18-13.635-Mild,-1
91,No,Yes,64,6.0032,3.555348061,9.02-12.88-Cold,-1
92,No,Yes,69,6.0032,2.397895273,8.2-11.365-Cold,-1
93,No,Yes,64,0,1.791759469,8.2-12.88-Cold,-1
94,No,Yes,74,6.0032,1.791759469,6.56-9.85-Cold,-1
95,No,Yes,74,6.0032,0.6931471806,6.56-9.85-Cold,-1
96,No,Yes,48,15.0013,0.6931471806,9.84-11.365-Cold,-1
97,No,Yes,47,11.0014,1.098612289,9.02-11.365-Cold,-1
98,No,Yes,47,15.0013,3.496507561,8.2-9.85-Cold,-1
99,No,Yes,43,12.998,4.477336814,7.38-9.09-Cold,-1
100,No,Yes,40,19.9995,5.272999559,8.2-9.09-Cold,-1
101,No,Yes,37,22.0028,4.744932128,20.19-9.85-Mild,-1
102,No,Yes,37,22.0028,4.043051268,9.02-9.85-Cold,-1
103,No,Yes,33,22.0028,3.828641396,10.66-11.365-Mild,-1
104,No,Yes,33,22.0028,4.369447852,10.66-11.365-Mild,-1
105,No,Yes,30,19.9995,4.262679877,11.48-12.88-Mild,-1
106,No,Yes,28,12.998,4.127134385,12.3-14.395-Mild,-1
107,No,Yes,28,12.998,4.127134385,12.3-14.395-Mild,-1
108,No,Yes,28,6.0032,4.48863637,12.3-15.91-Mild,-1
109,No,Yes,38,12.998,5.247024072,9.84-11.365-Cold,-1
110,No,Yes,38,8.9981,5.129898715,9.84-12.12-Cold,-1
111,No,Yes,38,7.0015,4.882801923,9.84-12.88-Cold,-1
112,No,Yes,47,11.0014,4.48863637,9.02-11.365-Cold,-1
113,No,Yes,51,12.998,3.761200116,8.2-9.85-Cold,-1
114,No,Yes,55,8.9981,3.737669618,7.38-9.85-Cold,-1
115,No,Yes,47,0,2.944438979,8.2-12.88-Cold,-1
116,No,Yes,55,0,2.397895273,7.38-12.12-Cold,-1
117,No,Yes,64,0,1.386294361,6.56-11.365-Cold,-1
118,No,Yes,64,0,0.6931471806,6.56-11.365-Cold,-1
119,No,Yes,64,6.0032,0,6.56-9.85-Cold,-2
120,No,Yes,69,6.0032,1.386294361,5.74-9.09-Cold,-2
121,No,Yes,63,7.0015,3.583518938,5.74-8.335-Cold,-2
122,No,Yes,59,0,4.553876892,20.22-11.365-Mild,-2
123,No,Yes,59,0,5.38907173,6.56-11.365-Cold,-1
124,No,Yes,51,0,4.804021045,20.22-12.12-Mild,-2
125,No,Yes,47,0,3.80666249,8.2-12.88-Cold,-1
126,No,Yes,44,6.0032,4.077537444,9.02-12.88-Cold,-1
127,No,Yes,35,0,4.430816799,10.66-14.395-Mild,-1
128,No,Yes,35,7.0015,4.204692619,10.66-13.635-Mild,-1
129,No,Yes,36,11.0014,4.248495242,11.48-13.635-Mild,-1
130,No,Yes,36,0,4.127134385,11.48-13.635-Mild,-1
131,No,Yes,38,11.0014,4.454347296,10.66-12.88-Mild,-1
132,No,Yes,51,11.0014,5.147494477,9.02-11.365-Cold,-1
133,No,Yes,51,8.9981,5.093750201,9.02-11.365-Cold,-1
134,No,Yes,55,,4.718498871,9.02-12.88-Cold,-1
135,No,Yes,51,11.0014,4.234106505,20.24-10.605-Mild,-1
136,No,Yes,55,15.0013,3.871201011,9.02-10.605-Cold,-2
137,No,Yes,51,19.0012,3.951243719,9.02-10.605-Cold,-2
138,No,Yes,59,12.998,3.135494216,20.24-9.85-Mild,-2
139,No,Yes,64,12.998,2.833213344,8.2-9.85-Cold,-2
140,No,Yes,69,15.0013,1.945910149,8.2-9.85-Cold,-2
141,No,Yes,69,15.0013,0,8.2-9.85-Cold,-2
142,No,Yes,69,8.9981,0,8.2-10.605-Cold,-2
143,No,Yes,55,0,1.609437912,20.25-13.635-Mild,-3
144,No,Yes,69,0,3.526360525,8.2-12.88-Cold,-2
145,No,Yes,69,8.9981,4.430816799,8.2-10.605-Cold,-1
146,No,Yes,51,16.9979,5.347107531,8.2-9.85-Cold,-1
147,No,Yes,47,19.9995,4.8978398,8.2-9.09-Cold,-1
148,No,Yes,37,22.0028,4.143134726,20.25-9.85-Mild,-1
149,No,Yes,40,15.0013,4.204692619,8.2-23.71-Cold,-2
150,No,Yes,37,16.9979,4.077537444,20.26-9.85-Mild,-2
151,No,Yes,37,19.0012,4.290459441,8.2-9.09-Cold,-2
152,No,Yes,40,16.9979,3.912023005,8.2-9.85-Cold,-2
153,No,Yes,37,11.0014,4.276666119,8.2-10.605-Cold,-2
154,No,Yes,37,11.0014,4.465908119,20.26-10.605-Mild,-2
155,No,Yes,37,0,5.231108617,8.2-12.88-Cold,-2
156,No,Yes,40,6.0032,4.812184355,8.2-11.365-Cold,-1
157,No,Yes,55,6.0032,4.553876892,6.56-9.85-Cold,-1
158,No,Yes,47,7.0015,3.931825633,7.38-10.605-Cold,-1
159,No,Yes,47,8.9981,3.663561646,7.38-9.85-Cold,-1
160,No,Yes,43,11.0014,3.583518938,7.38-9.85-Cold,-2
161,No,Yes,51,11.0014,2.708050201,7.38-9.85-Cold,-2
162,No,No,51,11.0014,3.218875825,7.38-9.85-Cold,-2
163,No,No,55,6.0032,2.772588722,7.38-10.605-Cold,-2
164,No,No,55,0,2.772588722,7.38-12.12-Cold,-2
165,No,No,55,11.0014,1.945910149,7.38-9.85-Cold,-3
166,No,No,55,11.0014,0,7.38-9.85-Cold,-3
167,No,No,74,,1.609437912,6.56-8.335-Cold,-2
168,No,No,74,11.0014,0.6931471806,6.56-8.335-Cold,-2
169,No,No,74,7.0015,2.197224577,6.56-9.09-Cold,-2
170,No,No,93,7.0015,2.708050201,6.56-9.09-Cold,-3
171,No,No,93,7.0015,2.995732274,6.56-9.09-Cold,-3
172,No,No,80,11.0014,4.110873864,20.29-9.85-Mild,-2
173,No,No,69,26.0027,4.127134385,8.2-9.09-Cold,-2
174,No,No,59,23.9994,4.584967479,8.2-9.09-Cold,-2
175,No,No,44,22.0028,4.624972813,8.2-9.09-Cold,-1
176,No,No,32,32.9975,4.553876892,8.2-8.335-Cold,-1
177,No,No,32,30.0026,4.304065093,8.2-8.335-Cold,-1
178,No,No,29,30.0026,4.33073334,7.38-6.82-Cold,-1
179,No,No,37,36.9974,4.234106505,6.56-6.06-Cold,-1
180,No,No,39,19.9995,4.007333185,5.74-6.06-Cold,-1
181,No,No,36,16.9979,3.401197382,5.74-6.06-Cold,-1
182,No,No,36,16.9979,3.33220451,4.92-6.06-Cold,-1
183,No,No,39,23.9994,3.610917913,4.92-5.305-Cold,-1
184,No,No,36,26.0027,3.526360525,20.31-5.305-Mild,-1
185,No,No,39,30.0026,3.091042453,4.1-3.03-Cold,-1
186,No,No,42,26.0027,3.218875825,4.1-3.79-Cold,-1
187,No,No,42,31.0009,2.48490665,4.1-3.03-Cold,-1
188,No,No,46,31.0009,2.397895273,4.1-3.03-Cold,-1
189,No,No,46,27.9993,1.386294361,20.32-3.79-Mild,-1
190,No,No,53,12.998,0,20.32-4.545-Mild,-1
191,No,No,53,12.998,0,20.32-4.545-Mild,-1
192,No,No,49,19.0012,0,4.1-4.545-Cold,-1
193,No,No,53,12.998,1.791759469,3.28-4.545-Cold,-1
194,No,No,49,19.0012,2.302585093,4.1-4.545-Cold,-1
195,No,No,46,35.0008,2.944438979,4.92-3.79-Cold,-1
196,No,No,43,26.0027,3.891820298,5.74-5.305-Cold,-1
197,No,No,40,35.0008,3.891820298,6.56-6.06-Cold,-1
198,No,No,37,30.0026,4.418840608,20.33-6.82-Mild,-1
199,No,No,34,30.0026,4.317488114,8.2-8.335-Cold,-1
200,No,No,32,31.0009,4.276666119,9.02-9.09-Cold,-1
201,No,No,35,23.9994,4.406719247,9.02-9.85-Cold,-1
202,No,No,34,30.0026,4.521788577,8.2-8.335-Cold,-1
203,No,No,37,26.0027,4.127134385,7.38-7.575-Cold,-1
204,No,No,40,,3.871201011,6.56-6.82-Cold,-1
205,No,No,43,22.0028,3.713572067,6.56-6.82-Cold,-1
206,No,No,46,16.9979,3.63758616,20.35-6.06-Mild,-1
207,No,No,46,27.9993,2.995732274,5.74-5.305-Cold,-1
208,No,No,46,19.9995,2.708050201,5.74-6.06-Cold,-1
209,No,No,50,12.998,1.791759469,4.92-6.82-Cold,-1
210,No,Yes,50,19.0012,1.609437912,4.92-6.06-Cold,-1
211,No,Yes,50,19.0012,0,20.35-6.06-Mild,-1
212,No,Yes,50,15.0013,1.098612289,4.92-6.06-Cold,-1
213,No,Yes,50,15.0013,0,4.92-6.06-Cold,-1
214,No,Yes,54,8.9981,1.098612289,4.1-6.06-Cold,-1
215,No,Yes,54,16.9979,1.098612289,4.1-5.305-Cold,-1
216,No,Yes,50,19.0012,3.433987204,4.92-6.06-Cold,-1
217,No,Yes,50,15.0013,4.343805422,4.92-6.06-Cold,-1
218,No,Yes,50,19.0012,5.236441963,4.92-6.06-Cold,-2
219,No,Yes,50,,4.543294782,5.74-6.06-Cold,-2
220,No,Yes,50,19.9995,3.433987204,5.74-6.06-Cold,-2
221,No,Yes,47,19.0012,3.401197382,6.56-6.82-Cold,-2
222,No,Yes,40,19.0012,3.951243719,8.2-9.09-Cold,-2
223,No,Yes,40,19.0012,3.988984047,8.2-9.09-Cold,-2
224,No,Yes,40,15.0013,3.850147602,20.38-9.85-Mild,-2
225,No,Yes,40,15.0013,3.80666249,8.2-9.85-Cold,-2
226,No,Yes,40,8.9981,4.304065093,8.2-10.605-Cold,-1
227,No,Yes,40,7.0015,5.18178355,8.2-11.365-Cold,-1
228,No,Yes,40,15.0013,5.043425117,8.2-9.85-Cold,-1
229,No,Yes,47,11.0014,4.553876892,6.56-8.335-Cold,-1
230,No,Yes,50,11.0014,4.304065093,6.56-8.335-Cold,-1
231,No,Yes,59,12.998,3.63758616,5.74-6.82-Cold,-1
232,No,Yes,59,11.0014,3.17805383,5.74-7.575-Cold,-1
233,No,Yes,59,11.0014,2.890371758,5.74-7.575-Cold,-1
234,No,Yes,59,7.0015,2.48490665,5.74-8.335-Cold,-1
235,No,Yes,59,11.0014,1.098612289,5.74-7.575-Cold,-1
236,No,Yes,55,12.998,1.098612289,6.56-7.575-Cold,-2
237,No,Yes,55,8.9981,1.791759469,6.56-9.09-Cold,-2
238,No,Yes,55,8.9981,3.295836866,6.56-9.09-Cold,-2
239,No,Yes,55,0,4.59511985,20.4-11.365-Mild,-2
240,No,Yes,51,6.0032,5.379897354,7.38-10.605-Cold,-2
241,No,Yes,51,11.0014,4.86753445,7.38-9.85-Cold,-2
242,No,Yes,51,11.0014,3.988984047,8.2-10.605-Cold,-2
243,No,Yes,47,8.9981,3.555348061,8.2-10.605-Cold,-2
244,No,Yes,51,7.0015,4.043051268,8.2-11.365-Cold,-2
245,No,Yes,59,6.0032,3.951243719,8.2-11.365-Cold,-2
246,No,Yes,59,6.0032,4.143134726,8.2-11.365-Cold,-2
247,No,Yes,80,6.0032,3.850147602,6.56-9.85-Cold,-2
248,No,Yes,86,15.0013,4.33073334,6.56-7.575-Cold,-2
249,No,Yes,86,15.0013,4.912654886,6.56-7.575-Cold,-2
250,No,Yes,93,7.0015,4.553876892,6.56-9.09-Cold,-3
251,No,Yes,93,0,3.931825633,6.56-11.365-Cold,-3
252,No,Yes,93,12.998,3.465735903,6.56-7.575-Cold,-3
253,No,Yes,86,6.0032,2.995732274,6.56-9.85-Cold,-3
254,No,Yes,93,7.0015,3.36729583,6.56-9.09-Cold,-3
255,No,Yes,93,6.0032,2.944438979,6.56-9.85-Cold,-3
256,No,Yes,86,6.0032,1.945910149,6.56-9.85-Cold,-2
257,No,Yes,86,7.0015,1.791759469,6.56-9.09-Cold,-2
258,No,Yes,86,8.9981,0,5.74-7.575-Cold,-1
259,No,Yes,86,11.0014,1.609437912,5.74-7.575-Cold,-1
260,No,Yes,93,8.9981,2.772588722,4.92-7.575-Cold,-1
261,No,Yes,69,8.9981,3.988984047,20.44-7.575-Mild,-1
262,No,Yes,59,11.0014,4.852030264,6.56-8.335-Cold,-1
263,No,Yes,59,22.0028,4.394449155,6.56-6.82-Cold,-1
264,No,Yes,55,15.0013,3.663561646,7.38-9.09-Cold,-1
265,No,Yes,51,26.0027,3.555348061,8.2-9.09-Cold,-1
266,No,Yes,47,39.0007,4.007333185,8.2-7.575-Cold,-1
267,No,Yes,44,23.9994,3.891820298,9.02-9.85-Cold,-1
268,No,Yes,47,22.0028,3.784189634,20.45-9.09-Mild,-1
269,No,Yes,47,27.9993,3.891820298,8.2-8.335-Cold,-1
270,No,Yes,44,22.0028,4.219507705,9.02-9.85-Cold,-1
271,No,Yes,47,23.9994,4.934473933,20.46-9.09-Mild,-1
272,No,Yes,47,35.0008,4.919980926,8.2-7.575-Cold,-1
273,No,Yes,47,27.9993,4.418840608,7.38-7.575-Cold,-1
274,No,Yes,50,22.0028,4.025351691,6.56-6.82-Cold,-1
275,No,Yes,55,22.0028,4.043051268,6.56-6.82-Cold,-1
276,No,Yes,55,30.0026,3.496507561,6.56-6.06-Cold,-1
277,No,Yes,59,27.9993,2.995732274,20.47-5.305-Mild,-1
278,No,Yes,59,19.0012,1.945910149,5.74-6.06-Cold,-1
279,No,Yes,50,19.0012,0.6931471806,5.74-6.06-Cold,-1
280,No,Yes,50,23.9994,0.6931471806,20.47-6.06-Mild,-1
281,No,Yes,50,22.0028,1.098612289,5.74-6.06-Cold,-1
282,No,Yes,50,16.9979,1.386294361,5.74-6.06-Cold,-1
283,No,Yes,50,19.9995,1.098612289,5.74-6.06-Cold,-1
284,No,Yes,54,8.9981,3.33220451,20.48-7.575-Mild,-1
285,No,Yes,54,8.9981,4.276666119,4.92-7.575-Cold,-1
286,No,Yes,50,12.998,5.308267697,5.74-6.82-Cold,-1
287,No,Yes,50,22.0028,4.934473933,5.74-6.06-Cold,-1
288,No,Yes,50,23.9994,3.63758616,6.56-6.82-Cold,-2
289,No,Yes,44,30.0026,3.610917913,8.2-8.335-Cold,-2
290,No,Yes,44,27.9993,3.951243719,8.2-23.98-Cold,-1
291,No,Yes,41,30.0026,4.418840608,9.02-9.85-Cold,-1
292,No,Yes,41,26.0027,3.737669618,9.02-9.85-Cold,-1
293,No,Yes,38,19.9995,4.094344562,20.49-10.605-Mild,-1
294,No,Yes,38,23.9994,4.356708827,9.84-10.605-Cold,-1
295,No,Yes,40,19.0012,5.087596335,8.2-9.09-Cold,-1
296,No,Yes,40,22.0028,4.9698133,8.2-9.09-Cold,-1
297,No,Yes,47,16.9979,4.59511985,6.56-7.575-Cold,-1
298,No,Yes,47,15.0013,4.158883083,6.56-7.575-Cold,-1
299,No,Yes,46,19.9995,3.688879454,20.5-6.06-Mild,-1
300,No,Yes,46,22.0028,3.401197382,5.74-6.06-Cold,-1
301,No,Yes,50,12.998,2.708050201,4.92-6.82-Cold,-1
302,No,Yes,50,12.998,2.63905733,4.92-6.82-Cold,-1
303,No,Yes,54,11.0014,1.609437912,4.1-6.06-Cold,-1
304,No,Yes,54,8.9981,0,4.1-24-Cold,-1
305,No,Yes,54,7.0015,0,4.1-6.82-Cold,-1
306,No,Yes,54,6.0032,2.079441542,4.1-6.82-Cold,-1
307,No,Yes,54,0,2.833213344,20.51-9.09-Mild,-1
308,No,Yes,74,11.0014,4.248495242,4.1-6.06-Cold,-1
309,No,Yes,68,0,5.062595033,4.92-8.335-Cold,-1
310,No,Yes,69,8.9981,4.762173935,5.74-7.575-Cold,-1
311,No,Yes,55,12.998,3.784189634,7.38-9.09-Cold,-1
312,No,Yes,51,19.0012,3.970291914,7.38-8.335-Cold,-1
313,No,Yes,44,16.9979,4.110873864,8.2-9.85-Cold,-1
314,No,Yes,37,26.0027,4.343805422,9.02-9.85-Cold,-1
315,No,Yes,41,19.0012,4.158883083,9.02-10.605-Cold,-1
316,No,Yes,38,11.0014,4.219507705,9.84-12.12-Cold,-1
317,No,Yes,41,7.0015,4.49980967,9.02-12.12-Cold,-1
318,No,Yes,41,11.0014,5.068904202,9.02-11.365-Cold,-1
319,No,Yes,47,0,4.934473933,8.2-12.88-Cold,-1
320,No,Yes,59,6.0032,4.521788577,6.56-9.85-Cold,-1
321,No,Yes,59,0,4.219507705,7.38-12.12-Cold,-1
322,No,Yes,69,0,3.951243719,6.56-11.365-Cold,-1
323,No,Yes,69,0,3.583518938,20.54-11.365-Mild,-2
324,No,Yes,55,0,3.295836866,7.38-12.12-Cold,-2
325,No,No,55,0,3.33220451,20.54-12.12-Mild,-1
326,No,No,59,6.0032,2.995732274,6.56-9.85-Cold,-2
327,No,No,59,6.0032,2.48490665,6.56-9.85-Cold,-2
328,No,No,59,0,2.079441542,6.56-11.365-Cold,-2
329,No,No,59,0,1.609437912,6.56-11.365-Cold,-2
330,No,No,59,0,0,6.56-11.365-Cold,-1
331,No,No,,7.0015,1.098612289,5.74-8.335-Cold,-1
332,No,No,63,0,2.302585093,5.74-10.605-Cold,-1
333,No,No,63,8.9981,3.135494216,20.56-7.575-Mild,-1
334,No,No,64,8.9981,3.496507561,6.56-9.09-Cold,-1
335,No,No,59,11.0014,4.077537444,7.38-9.85-Cold,-1
336,No,No,55,15.0013,4.276666119,8.2-9.85-Cold,-1
337,No,No,48,15.0013,4.48863637,9.84-11.365-Cold,-1
338,No,No,38,19.9995,4.615120517,11.48-12.88-Mild,-1
339,No,No,39,19.0012,4.770684624,20.57-14.395-Mild,-1
340,No,No,36,12.998,4.859812404,13.12-15.91-Mild,-2
341,No,No,34,12.998,4.852030264,13.94-16.665-Mild,-2
342,No,No,36,19.0012,4.418840608,13.12-15.15-Mild,-2
343,No,No,45,16.9979,4.430816799,12.3-14.395-Mild,-2
344,No,No,39,16.9979,4.304065093,13.12-15.15-Mild,-2
345,No,No,39,16.9979,3.713572067,13.12-15.15-Mild,-2
346,No,No,39,15.0013,4.043051268,13.12-15.15-Mild,-2
347,No,No,42,7.0015,3.258096538,20.57-15.91-Mild,-2
348,No,No,45,19.0012,3.784189634,12.3-14.395-Mild,-1
349,No,No,56,0,3.663561646,10.66-15.15-Mild,-1
350,No,No,56,8.9981,3.135494216,10.66-13.635-Mild,-1
351,No,No,56,6.0032,2.772588722,10.66-14.395-Mild,-1
352,No,No,69,0,2.708050201,9.02-13.635-Cold,-1
353,No,No,56,11.0014,0,10.66-12.88-Mild,-1
354,No,No,56,11.0014,0.6931471806,10.66-12.88-Mild,-2
355,No,No,56,11.0014,0,10.66-12.88-Mild,-2
356,No,No,56,19.9995,1.098612289,9.84-10.605-Cold,-2
357,No,No,55,19.0012,2.890371758,9.02-10.605-Cold,-1
358,No,No,51,16.9979,3.465735903,9.02-10.605-Cold,-1
359,No,No,51,19.0012,4.369447852,9.02-10.605-Cold,-1
360,No,No,44,16.9979,4.532599493,9.84-11.365-Cold,-1
361,No,No,41,19.0012,4.644390899,20.59-10.605-Mild,-1
362,No,No,35,19.9995,4.770684624,10.66-11.365-Mild,-1
363,No,No,36,16.9979,4.510859507,11.48-13.635-Mild,-1
364,No,No,38,16.9979,4.727387819,10.66-12.12-Mild,-1
365,No,No,38,15.0013,4.59511985,9.84-11.365-Cold,-1
366,No,No,37,16.9979,4.65396035,20.6-10.605-Mild,-1
367,No,No,40,11.0014,4.204692619,20.6-10.605-Mild,-1
368,No,No,47,8.9981,4.110873864,7.38-9.85-Cold,-1
369,No,No,47,11.0014,4.043051268,7.38-9.85-Cold,-1
370,No,No,51,11.0014,3.33220451,7.38-9.85-Cold,-1
371,No,No,49,,3.044522438,8.2-10.605-Cold,-2
372,No,No,40,7.0015,2.890371758,8.2-11.365-Cold,-2
373,Yes,No,47,15.0013,2.833213344,8.2-9.85-Cold,-2
374,Yes,No,44,12.998,2.772588722,20.61-9.85-Mild,-2
375,Yes,No,43,,2.079441542,7.38-8.335-Cold,-2
376,Yes,No,43,12.998,0.6931471806,20.61-9.09-Mild,-2
377,Yes,No,43,8.9981,1.098612289,7.38-9.85-Cold,-2
378,Yes,No,43,11.0014,0,7.38-9.85-Cold,-2
379,Yes,No,43,12.998,1.609437912,7.38-9.09-Cold,-2
380,Yes,No,50,8.9981,2.564949357,6.56-9.09-Cold,-2
381,Yes,No,47,15.0013,3.496507561,20.62-7.575-Mild,-2
382,Yes,No,47,15.0013,3.850147602,6.56-7.575-Cold,-2
383,Yes,No,50,16.9979,4.043051268,6.56-7.575-Cold,-2
384,Yes,No,55,12.998,4.158883083,6.56-7.575-Cold,-2
385,Yes,No,47,8.9981,4.382026635,7.38-9.85-Cold,-2
386,Yes,No,47,8.9981,4.532599493,7.38-9.85-Cold,-2
387,Yes,No,43,7.0015,4.454347296,7.38-10.605-Cold,-2
388,Yes,No,47,11.0014,4.532599493,8.2-10.605-Cold,-2
389,Yes,No,47,11.0014,4.406719247,8.2-10.605-Cold,-2
390,Yes,No,51,12.998,4.262679877,20.63-9.85-Mild,-1
391,Yes,No,55,16.9979,4.521788577,7.38-8.335-Cold,-2
392,Yes,No,59,12.998,4.094344562,7.38-9.09-Cold,-3
393,Yes,No,80,12.998,3.496507561,20.64-7.575-Mild,-3
394,Yes,No,80,12.998,3.295836866,6.56-7.575-Cold,-3
395,Yes,No,93,16.9979,2.564949357,5.74-6.06-Cold,-3
396,Yes,No,86,19.0012,1.386294361,20.64-6.82-Mild,-3
397,No,Yes,86,22.0028,1.098612289,20.64-9.09-Mild,-2
398,No,Yes,86,15.0013,3.091042453,8.2-9.85-Cold,-2
399,No,Yes,80,11.0014,3.33220451,9.02-11.365-Cold,-2
400,No,Yes,87,11.0014,3.555348061,20.64-11.365-Mild,-2
401,No,Yes,87,12.998,4.110873864,20.64-11.365-Mild,-2
402,No,Yes,82,12.998,4.828313737,9.02-11.365-Cold,-2
